asset,entry_time,exit_time,direction,entry_zscore,hours_held,funding_pnl_pct,cost_pct,net_pnl_pct,exit_reason
SOL-USDT-PERP,2022-09-19 16:00:00+00:00,2022-09-20 00:00:00+00:00,LONG,-1.719,8,-0.00254,0.04,-0.04254,REVERT
SOL-USDT-PERP,2022-09-30 08:00:00+00:00,2022-09-30 16:00:00+00:00,LONG,-1.869,8,-0.00297,0.04,-0.04297,REVERT
SOL-USDT-PERP,2022-10-04 16:00:00+00:00,2022-10-05 08:00:00+00:00,LONG,-2.747,16,0.0199,0.04,-0.0201,REVERT
SOL-USDT-PERP,2022-10-06 08:00:00+00:00,2022-10-06 16:00:00+00:00,LONG,-1.749,8,-0.00763,0.04,-0.04763,REVERT
SOL-USDT-PERP,2022-10-13 16:00:00+00:00,2022-10-14 16:00:00+00:00,LONG,-2.78,24,0.03914,0.04,-0.00086,TIMEOUT
SOL-USDT-PERP,2022-10-16 08:00:00+00:00,2022-10-17 08:00:00+00:00,LONG,-2.068,24,0.03905,0.04,-0.00095,TIMEOUT
SOL-USDT-PERP,2022-10-17 08:00:00+00:00,2022-10-18 08:00:00+00:00,LONG,-1.987,24,0.01814,0.04,-0.02186,REVERT
SOL-USDT-PERP,2022-10-22 00:00:00+00:00,2022-10-22 16:00:00+00:00,LONG,-1.683,16,0.01018,0.04,-0.02982,REVERT
SOL-USDT-PERP,2022-10-26 00:00:00+00:00,2022-10-26 08:00:00+00:00,LONG,-2.605,8,-0.01,0.04,-0.05,REVERT
SOL-USDT-PERP,2022-11-08 08:00:00+00:00,2022-11-09 08:00:00+00:00,LONG,-19.212,24,1.53281,0.04,1.49281,TIMEOUT
SOL-USDT-PERP,2022-11-09 08:00:00+00:00,2022-11-10 08:00:00+00:00,LONG,-8.48,24,4.0,0.04,3.96,TIMEOUT
SOL-USDT-PERP,2022-11-10 08:00:00+00:00,2022-11-10 22:00:00+00:00,LONG,-13.549,14,0.90985,0.04,0.86985,REVERT
SOL-USDT-PERP,2022-11-11 02:00:00+00:00,2022-11-11 06:00:00+00:00,LONG,-1.732,4,0.0,0.04,-0.04,REVERT
SOL-USDT-PERP,2022-11-11 10:00:00+00:00,2022-11-11 20:00:00+00:00,LONG,-1.238,10,1.85489,0.04,1.81489,REVERT
SOL-USDT-PERP,2022-11-12 06:00:00+00:00,2022-11-12 08:00:00+00:00,LONG,-1.236,2,0.14178,0.04,0.10178,REVERT
SOL-USDT-PERP,2022-11-14 02:00:00+00:00,2022-11-14 06:00:00+00:00,LONG,-1.28,4,0.0,0.04,-0.04,REVERT
SOL-USDT-PERP,2022-12-24 16:00:00+00:00,2022-12-25 16:00:00+00:00,LONG,-3.512,24,0.09186,0.04,0.05186,REVERT
SOL-USDT-PERP,2022-12-28 16:00:00+00:00,2022-12-29 08:00:00+00:00,LONG,-2.975,16,0.05665,0.04,0.01665,REVERT
SOL-USDT-PERP,2022-12-30 00:00:00+00:00,2022-12-31 00:00:00+00:00,LONG,-8.712,24,0.78306,0.04,0.74306,TIMEOUT
